CURSO,CÓDIGO DE TURMA,TURMA,TEORIA,PRÁTICA,CAMPUS,TURNO,T-P-E-I,VAGAS TOTAIS,VAGAS REMANESCENT ES,TURMAS ALTA DEMANDA,DOCENTE TEORIA,DOCENTE TEORIA 2,DOCENTE PRÁTICA,DOCENTE PRÁTICA 2
BACHARELADO EM BIOTECNOLOGIA,NA1NHZ6002-18SA,TECNOLOGIA DE FERMENTAÇÕES A1-Noturno (SA),"terça das 21:00 às 23:00, semanal","sexta das 19:00 às 21:00, semanal",SA,Noturno,2-2-0,30,4,-,TALES ALEXANDRE DA COSTA E SILVA,0,TALES ALEXANDRE DA COSTA E SILVA,0
BACHARELADO EM BIOTECNOLOGIA,DA1NHZ6014-18SA,TRABALHO DE CONCLUSÃO DE CURSO DE BIOTECNOLOGIA A1-Matutino (SA),"segunda das 10:00 às 12:00, semanal",,SA,Matutino,2-0-2,30,28,-,DANILO TRABUCO DO AMARAL,0,0,0
BACHARELADO EM BIOTECNOLOGIA,NA1NHZ6014-18SA,TRABALHO DE CONCLUSÃO DE CURSO DE BIOTECNOLOGIA A1-Noturno (SA),"segunda das 19:00 às 21:00, semanal",,SA,Noturno,2-0-2,30,23,-,MARCELO CHUEI MATSUDO,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCCC002-23SA,ALGORITMOS E ESTRUTURAS DE DADOS II A1- Matutino (SA),"quinta das 08:00 às 10:00, semanal ; segunda das 10:00 às 12:00, semanal",,SA,Matutino,4-0-6,95,0,-,CARLO KLEBER DA SILVA RODRIGUES,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCCC002-23SA,ALGORITMOS E ESTRUTURAS DE DADOS II A1- Noturno (SA),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal",,SA,Noturno,4-0-6,95,0,-,CARLO KLEBER DA SILVA RODRIGUES,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCCC005-23SA,ANÁLISE DE ALGORITMOS II A1-Matutino (SA),"terça das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal",,SA,Matutino,4-0-0,90,10,-,CRISTIANE MARIA SATO,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCCC005-23SA,ANÁLISE DE ALGORITMOS II A1-Noturno (SA),"terça das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal",,SA,Noturno,4-0-0,90,34,-,MARIO LESTON REY,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCCC006-23SA,COMPILADORES E INTERPRETADORES A1-Matutino (SA),"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal",,SA,Matutino,4-0-4,95,0,-,VALERIO RAMOS BATISTA,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCCC006-23SA,COMPILADORES E INTERPRETADORES A1-Noturno (SA),"terça das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal",,SA,Noturno,4-0-4,95,0,SIM,VALERIO RAMOS BATISTA,0,0,0
CURSO,CÓDIGO DE TURMA,TURMA,TEORIA,PRÁTICA,CAMPUS,TURNO,T-P-E-I,VAGAS TOTAIS,VAGAS REMANESCENT ES,TURMAS ALTA DEMANDA,DOCENTE TEORIA,DOCENTE TEORIA 2,DOCENTE PRÁTICA,DOCENTE PRÁTICA 2
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCTA009-13SA,"COMPUTADORES, ÉTICA E SOCIEDADE A1- Matutino (SA)","segunda das 10:00 às 12:00, semanal",,SA,Matutino,2-0-4,95,0,SIM,JERONIMO PELLEGRINI,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCTA009-13SA,"COMPUTADORES, ÉTICA E SOCIEDADE A1-Noturno (SA)","segunda das 21:00 às 23:00, semanal",,SA,Noturno,2-0-4,95,0,SIM,CARLA LOPES RODRIGUEZ,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DB1MCTA009-13SA,"COMPUTADORES, ÉTICA E SOCIEDADE B1- Matutino (SA)","quarta das 08:00 às 10:00, semanal",,SA,Matutino,2-0-4,95,95,-,JERONIMO PELLEGRINI,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NB1MCTA009-13SA,"COMPUTADORES, ÉTICA E SOCIEDADE B1-Noturno (SA)","terça das 21:00 às 23:00, semanal",,SA,Noturno,2-0-4,95,95,-,CARLA LOPES RODRIGUEZ,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCZA053-22SA,DESENVOLVIMENTO GUIADO POR TIPOS A1- Matutino (SA),"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal",,SA,Matutino,4-0-4,90,58,-,EMILIO DE CAMARGO FRANCESQUINI,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCZA053-22SA,DESENVOLVIMENTO GUIADO POR TIPOS A1- Noturno (SA),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal",,SA,Noturno,4-0-4,90,35,-,EMILIO DE CAMARGO FRANCESQUINI,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCTB019-17SA,MATEMÁTICA DISCRETA A1-Matutino (SA),"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal",,SA,Matutino,4-0-4,90,0,-,JAIR DONADELLI JUNIOR,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCTB019-17SA,MATEMÁTICA DISCRETA A1-Noturno (SA),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal",,SA,Noturno,4-0-4,90,0,-,JAIR DONADELLI JUNIOR,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DB1MCTB019-17SA,MATEMÁTICA DISCRETA B1-Matutino (SA),"segunda das 16:00 às 18:00, semanal ; quarta das 16:00 às 18:00, semanal",,SA,Matutino,4-0-4,95,95,-,RENZO GONZALO GOMEZ DIAZ,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCCC010-23SA,MATEMÁTICA DISCRETA II A1-Matutino (SA),"segunda das 08:00 às 10:00, semanal ; quarta das 10:00 às 12:00, semanal",,SA,Matutino,4-0-4,95,0,-,JERONIMO PELLEGRINI,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCCC010-23SA,MATEMÁTICA DISCRETA II A1-Noturno (SA),"segunda das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, semanal",,SA,Noturno,4-0-4,90,31,-,RENZO GONZALO GOMEZ DIAZ,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCZA014-17SA,MÉTODOS DE OTIMIZAÇÃO A1-Matutino (SA),"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal",,SA,Matutino,4-0-4,90,57,-,ARITANAN BORGES GARCIA GRUBER,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCZA014-17SA,MÉTODOS DE OTIMIZAÇÃO A1-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal",,SA,Noturno,4-0-4,90,50,-,ARITANAN BORGES GARCIA GRUBER,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCTC021-20SA,NEUROCIÊNCIA TEÓRICA E COMPUTACIONAL A1- Noturno (SA),"sexta das 19:00 às 21:00, semanal","terça das 19:00 às 21:00, semanal",SA,Noturno,2-2-4,45,0,SIM,FRANCISCO JAVIER ROPERO PELAEZ,0,FRANCISCO JAVIER ROPERO PELAEZ,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA2MCTC021-20SA,NEUROCIÊNCIA TEÓRICA E COMPUTACIONAL A2- Noturno (SA),"sexta das 19:00 às 21:00, semanal","terça das 21:00 às 23:00, semanal",SA,Noturno,2-2-4,45,0,SIM,FRANCISCO JAVIER ROPERO PELAEZ,0,FRANCISCO JAVIER ROPERO PELAEZ,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCZA018-17SA,PROCESSAMENTO DIGITAL DE IMAGENS A1- Matutino (SA),"sexta das 08:00 às 10:00, semanal ; terça das 10:00 às 12:00, quinzenal I","terça das 08:00 às 10:00, quinzenal II",SA,Matutino,3-1-4,45,7,-,FRANCISCO DE ASSIS ZAMPIROLLI,0,FRANCISCO DE ASSIS ZAMPIROLLI,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA2MCZA018-17SA,PROCESSAMENTO DIGITAL DE IMAGENS A2- Matutino (SA),"terça das 10:00 às 12:00, quinzenal I; sexta das 08:00 às 10:00, semanal","terça das 10:00 às 12:00, quinzenal II",SA,Matutino,3-1-4,45,0,SIM,FRANCISCO DE ASSIS ZAMPIROLLI,0,FRANCISCO DE ASSIS ZAMPIROLLI,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCCC015-23SA,PROGRAMAÇÃO FUNCIONAL A1-Matutino (SA),"segunda das 08:00 às 10:00, semanal ; quarta das 10:00 às 12:00, semanal",,SA,Matutino,4-0-4,95,0,SIM,DIOGO SANTANA MARTINS,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCCC015-23SA,PROGRAMAÇÃO FUNCIONAL A1-Noturno (SA),"segunda das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, semanal",,SA,Noturno,4-0-4,95,0,SIM,DEBORA MARIA ROSSI DE MEDEIROS,0,0,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCTA018-13SA,PROGRAMAÇÃO ORIENTADA A OBJETOS A1- Matutino (SA),"quinta das 10:00 às 12:00, semanal","terça das 08:00 às 10:00, semanal",SA,Matutino,2-2-4,45,0,SIM,PAULO HENRIQUE PISANI,0,PAULO HENRIQUE PISANI,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCTA018-13SA,PROGRAMAÇÃO ORIENTADA A OBJETOS A1- Noturno (SA),"quinta das 21:00 às 23:00, semanal","terça das 19:00 às 21:00, semanal",SA,Noturno,2-2-4,45,0,SIM,ALEXANDRE NOMA,0,ALEXANDRE NOMA,0
CURSO,CÓDIGO DE TURMA,TURMA,TEORIA,PRÁTICA,CAMPUS,TURNO,T-P-E-I,VAGAS TOTAIS,VAGAS REMANESCENT ES,TURMAS ALTA DEMANDA,DOCENTE TEORIA,DOCENTE TEORIA 2,DOCENTE PRÁTICA,DOCENTE PRÁTICA 2
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA2MCTA018-13SA,PROGRAMAÇÃO ORIENTADA A OBJETOS A2- Matutino (SA),"quinta das 10:00 às 12:00, semanal","terça das 10:00 às 12:00, semanal",SA,Matutino,2-2-4,45,0,SIM,PAULO HENRIQUE PISANI,0,PAULO HENRIQUE PISANI,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA2MCTA018-13SA,PROGRAMAÇÃO ORIENTADA A OBJETOS A2- Noturno (SA),"quinta das 21:00 às 23:00, semanal","terça das 21:00 às 23:00, semanal",SA,Noturno,2-2-4,45,0,SIM,ALEXANDRE NOMA,0,ALEXANDRE NOMA,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA1MCTA024-13SA,SISTEMAS DIGITAIS A1-Matutino (SA),"quarta das 08:00 às 10:00, semanal","sexta das 08:00 às 10:00, semanal",SA,Matutino,2-2-4,45,0,SIM,JOSE ARTUR QUILICI GONZALEZ,0,JOSE ARTUR QUILICI GONZALEZ,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA1MCTA024-13SA,SISTEMAS DIGITAIS A1-Noturno (SA),"quarta das 19:00 às 21:00, semanal","sexta das 19:00 às 21:00, semanal",SA,Noturno,2-2-4,45,0,SIM,VICTORIA ALEJANDRA SALAZAR HERRERA,0,VICTORIA ALEJANDRA SALAZAR HERRERA,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,DA2MCTA024-13SA,SISTEMAS DIGITAIS A2-Matutino (SA),"quarta das 08:00 às 10:00, semanal","sexta das 10:00 às 12:00, semanal",SA,Matutino,2-2-4,45,0,SIM,JOSE ARTUR QUILICI GONZALEZ,0,JOSE ARTUR QUILICI GONZALEZ,0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,NA2MCTA024-13SA,SISTEMAS DIGITAIS A2-Noturno (SA),"quarta das 19:00 às 21:00, semanal","sexta das 21:00 às 23:00, semanal",SA,Noturno,2-2-4,45,0,SIM,VICTORIA ALEJANDRA SALAZAR HERRERA,0,VICTORIA ALEJANDRA SALAZAR HERRERA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA1BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A1- Matutino (SA) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,LIVIA SENO FERREIRA CAMARGO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA1BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A1- Matutino (SB) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SB,Matutino,0-3-3-2,30,0,-,0,0,HUEDER PAULO MOISES DE OLIVEIRA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A1- Noturno (SA) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SA,Noturno,0-3-3-2,30,0,-,0,0,GUSTAVO MORARI DO NASCIMENTO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A1- Noturno (SB) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SB,Noturno,0-3-3-2,30,0,-,0,0,BRUNO GUZZO DA SILVA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA2BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A2- Matutino (SA) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,ANA CAROLINA SANTOS DE SOUZA GALVAO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA2BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A2- Matutino (SB) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SB,Matutino,0-3-3-2,30,0,-,0,0,NATHALIA DE SETTA COSTA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA2BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A2- Noturno (SA) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SA,Noturno,0-3-3-2,30,0,-,0,0,LEONARDO JOSE STEIL,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA2BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A2- Noturno (SB) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SB,Noturno,0-3-3-2,30,0,-,0,0,ANA PAULA ROMANI,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA3BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A3- Matutino (SA) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,CARLOS ALBERTO DA SILVA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA3BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A3- Matutino (SB) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SB,Matutino,0-3-3-2,30,0,-,0,0,FERNANDO AUGUSTO DE OLIVEIRA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA3BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A3- Noturno (SA) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SA,Noturno,0-3-3-2,30,0,-,0,0,JULIANA MARCHI,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA3BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A3- Noturno (SB) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SB,Noturno,0-3-3-2,30,0,-,0,0,ANDREZA CANDIDO MATIAS,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA4BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A4- Matutino (SA) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,JULIANA MARCHI,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA4BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A4- Noturno (SA) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SA,Noturno,0-3-3-2,30,0,-,0,0,HANA PAULA MASUDA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA5BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A5- Matutino (SA) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,MERCIA REGINA DOMINGUES,0
CURSO,CÓDIGO DE TURMA,TURMA,TEORIA,PRÁTICA,CAMPUS,TURNO,T-P-E-I,VAGAS TOTAIS,VAGAS REMANESCENT ES,TURMAS ALTA DEMANDA,DOCENTE TEORIA,DOCENTE TEORIA 2,DOCENTE PRÁTICA,DOCENTE PRÁTICA 2
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA5BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A5- Noturno (SA) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SA,Noturno,0-3-3-2,30,0,-,0,0,MARCELO AUGUSTO CHRISTOFFOLETE,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA6BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A6- Matutino (SA) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,ILKA TIEMY KATO PRATES,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA6BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A6- Noturno (SA) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SA,Noturno,0-3-3-2,30,0,-,0,0,TATIANE ARAUJO DE JESUS,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA7BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A7- Matutino (SA) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,JOSE FERNANDO QUEIRUGA REY,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA7BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A7- Noturno (SA) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SA,Noturno,0-3-3-2,30,0,-,0,0,ANTONIO GARRIDO GALLEGO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA8BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A8- Matutino (SA) - Carga Horária Extensionista,,"terça das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,ELIZABETH TEODOROV,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA8BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS A8- Noturno (SA) - Carga Horária Extensionista,,"segunda das 18:00 às 21:00, semanal",SA,Noturno,0-3-3-2,30,0,-,0,0,PEDRO CARLOS RUSSO ROSSI,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB1BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS B1- Matutino (SA) - Carga Horária Extensionista,,"segunda das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,LIVIA SENO FERREIRA CAMARGO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB1BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS B1- Matutino (SB) - Carga Horária Extensionista,,"segunda das 10:00 às 13:00, semanal",SB,Matutino,0-3-3-2,30,0,-,0,0,NATHALIA DE SETTA COSTA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB1BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS B1- Noturno (SA) - Carga Horária Extensionista,,"terça das 18:00 às 21:00, semanal",SA,Noturno,0-3-3-2,30,0,-,0,0,ANA CAROLINA SANTOS DE SOUZA GALVAO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB1BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS B1- Noturno (SB) - Carga Horária Extensionista,,"terça das 18:00 às 21:00, semanal",SB,Noturno,0-3-3-2,30,0,-,0,0,BRUNO GUZZO DA SILVA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB2BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS B2- Matutino (SA) - Carga Horária Extensionista,,"segunda das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,ANA CAROLINA SANTOS DE SOUZA GALVAO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB2BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS B2- Matutino (SB) - Carga Horária Extensionista,,"segunda das 10:00 às 13:00, semanal",SB,Matutino,0-3-3-2,30,0,-,0,0,RENATA SIMOES,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB2BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS B2- Noturno (SA) - Carga Horária Extensionista,,"terça das 18:00 às 21:00, semanal",SA,Noturno,0-3-3-2,30,0,-,0,0,GUSTAVO MORARI DO NASCIMENTO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB2BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS B2- Noturno (SB) - Carga Horária Extensionista,,"terça das 18:00 às 21:00, semanal",SB,Noturno,0-3-3-2,30,0,-,0,0,RENATA SIMOES,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB3BCS0001-25SA,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS B3- Matutino (SA) - Carga Horária Extensionista,,"segunda das 10:00 às 13:00, semanal",SA,Matutino,0-3-3-2,30,0,-,0,0,MARIA CRISTINA CARLAN DA SILVA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB3BCS0001-25SB,BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS B3- Matutino (SB) - Carga Horária Extensionista,,"segunda das 10:00 às 13:00, semanal",SB,Matutino,0-3-3-2,30,0,-,0,0,FERNANDO AUGUSTO DE OLIVEIRA,0
